Timestamp, soilMoisture, Temperature,  Flame, airHumidity
14:21:38,48,25,1,1022
14:21:38,48,25,1,1023
14:21:38,48,25,1,1022
14:21:38,48,25,1,1023
14:21:38,48,25,1,1022
14:21:38,48,25,1,1022
14:21:39,48,25,1,1022
14:21:40,48,25,1,1023
14:21:41,48,25,1,1023
14:21:42,48,25,1,1023
14:21:43,63,25,1,1022
14:21:44,78,25,1,75
14:21:45,23,25,1,74
14:21:46,61,25,1,78
14:21:47,79,25,1,74
14:21:48,78,25,1,75
14:21:49,78,25,1,76
14:21:50,78,25,1,74
14:21:51,78,25,1,75
14:21:52,78,26,1,73
14:21:53,78,25,1,75
14:21:54,58,26,1,75
14:21:55,50,26,1,75
14:21:56,47,26,1,75
14:21:57,48,26,1,1022
14:21:58,50,25,1,1022
14:21:59,45,25,1,76
14:22:00,23,25,1,76
14:22:01,48,25,1,1023
14:22:02,48,25,1,1022
14:22:03,25,25,1,77
14:22:04,48,25,1,1022
14:22:05,48,25,1,1023
14:22:06,60,25,1,1022
14:22:07,49,25,1,74
14:22:08,23,26,1,75
14:22:09,48,25,1,1022
14:22:10,48,25,1,1023
14:22:11,48,25,1,1023
14:22:11,
